Plate_ID,Group,Weight_1_ug,Weight_2_ug,Metha_weight,SA_mm,Path_lenght_mm,Abun_665,Abun_750,665_Blank,750_Blank
F4_A,4,1249000000,1442400000,197850000,3877,10,0.205,0.003,0.001,-0.001
F4_B,4,1249000000,1442400000,197850000,3877,10,0.207,0.012,0.001,-0.001
F4_C,4,1249000000,1442400000,197850000,3877,10,0.205,0.011,0.001,-0.001
M4_A,4,1269000000,1461200000,197850000,3877,10,0.965,0.015,-0.001,-0.001
M4_B,4,1269000000,1461200000,197850000,3877,10,0.97,0.022,-0.001,-0.001
M4_C,4,1269000000,1461200000,197850000,3877,10,0.97,0.018,-0.001,-0.001
F7_A,7,1250000000,1442600000,197850000,3877,10,0.58,0.011,0,-0.002
F7_B,7,1250000000,1442600000,197850000,3877,10,0.582,0.015,0,-0.002
F7_C,7,1250000000,1442600000,197850000,3877,10,0.582,0.013,0,-0.002
F3_A,3,1248600000,1437000000,197850000,3877,10,0.283,0.0008,0,0.0001
F3_B,3,1248600000,1437000000,197850000,3877,10,0.281,0.005,0,0.0001
F3_C,3,1248600000,1437000000,197850000,3877,10,0.284,0.015,0,0.0001
F8_A,8,1275000000,1469600000,197850000,3877,10,0.115,0.001,0.001,-0.001
F8_B,8,1275000000,1469600000,197850000,3877,10,0.117,0.006,0.001,-0.001
F8_C,8,1275000000,1469600000,197850000,3877,10,0.12,0.006,0.001,-0.001
M2_A,2,1264600000,1457800000,197850000,3877,10,0.055,0.006,0,-0.002
M2_B,2,1264600000,1457800000,197850000,3877,10,0.052,0.005,0,-0.002
M2_C,2,1264600000,1457800000,197850000,3877,10,0.061,0.007,0,-0.002
M8_A,8,1258800000,1452800000,197850000,3877,10,1.85,0.032,0,0
M8_B,8,1258800000,1452800000,197850000,3877,10,1.85,0.042,0,0
M8_C,8,1258800000,1452800000,197850000,3877,10,1.9,0.041,0,0
F10_A,10,1272000000,1465200000,197850000,3877,10,0.143,0.003,0,-0.002
F10_B,10,1272000000,1465200000,197850000,3877,10,0.143,0.006,0,-0.002
F10_C,10,1272000000,1465200000,197850000,3877,10,0.142,0.007,0,-0.002
M9_A,9,1262800000,1456600000,197850000,3877,10,0.286,0.012,-0.001,-0.001
M9_B,9,1262800000,1456600000,197850000,3877,10,0.278,0.005,-0.001,-0.001
M9_C,9,1262800000,1456600000,197850000,3877,10,0.279,0.006,-0.001,-0.001
C3_A,3,1264200000,1457600000,197850000,3877,10,0.13,0.005,0,-0.006
C3_B,3,1264200000,1457600000,197850000,3877,10,0.133,0.01,0,-0.006
C3_C,3,1264200000,1457600000,197850000,3877,10,0.139,0.007,0,-0.006
C4_A,4,1288000000,1475400000,197850000,3877,10,0.204,0.008,0.01,-0.001
C4_B,4,1288000000,1475400000,197850000,3877,10,0.214,0.023,0.01,-0.001
C4_C,4,1288000000,1475400000,197850000,3877,10,0.213,0.011,0.01,-0.001
M10_A,10,1171200000,1364200000,197850000,3877,10,0.065,0.012,-0.001,-0.001
M10_B,10,1171200000,1364200000,197850000,3877,10,0.058,0.009,-0.001,-0.001
M10_C,10,1171200000,1364200000,197850000,3877,10,0.059,0.003,-0.001,-0.001
M5_A,5,1281200000,1477200000,197850000,3877,10,1.56,0.019,0.002,-0.003
M5_B,5,1281200000,1477200000,197850000,3877,10,1.56,0.026,0.002,-0.003
M5_C,5,1281200000,1477200000,197850000,3877,10,0.154,0.026,0.002,-0.003
F5_A,5,1249800000,1445000000,197850000,3877,10,0.164,0.017,-0.001,-0.002
F5_B,5,1249800000,1445000000,197850000,3877,10,0.166,0.011,-0.001,-0.002
F5_C,5,1249800000,1445000000,197850000,3877,10,0.162,0.008,-0.001,-0.002
C1_A,1,1258200000,1452000000,197850000,3877,10,0.825,0.007,0.001,-0.002
C1_B,1,1258200000,1452000000,197850000,3877,10,0.835,0.009,0.001,-0.002
C1_C,1,1258200000,1452000000,197850000,3877,10,0.83,0.012,0.001,-0.002
UK_A,11,1268000000,1462400000,197850000,3877,10,0.293,0.015,0,0
UK_B,11,1268000000,1462400000,197850000,3877,10,0.292,0.015,0,0
UK_C,11,1268000000,1462400000,197850000,3877,10,0.305,0.011,0,0
M3_A,3,1274800000,1469000000,197850000,3877,10,0.147,0.006,0.001,-0.002
M3_B,3,1274800000,1469000000,197850000,3877,10,0.158,0.022,0.001,-0.002
M3_C,3,1274800000,1469000000,197850000,3877,10,0.135,0.004,0.001,-0.002
F6_A,6,1269600000,1464400000,197850000,3877,10,0.696,0.01,0.001,-0.001
F6_B,6,1269600000,1464400000,197850000,3877,10,0.698,0.013,0.001,-0.001
F6_C,6,1269600000,1464400000,197850000,3877,10,0.702,0.015,0.001,-0.001
F2_A,2,1285600000,1479900000,197850000,3877,10,0.137,0.001,0.031,-0.003
F2_B,2,1285600000,1479900000,197850000,3877,10,0.135,0.004,0.031,-0.003
F2_C,2,1285600000,1479900000,197850000,3877,10,0.163,0.03,0.031,-0.003
C2_A,2,1296400000,1490600000,197850000,3877,10,0.905,0.025,0.001,0.002
C2_B,2,1296400000,1490600000,197850000,3877,10,0.915,0.038,0.001,0.002
C2_C,2,1296400000,1490600000,197850000,3877,10,0.885,0.014,0.001,0.002
M1_A,1,1283200000,1477600000,197850000,3877,10,0.42,0.004,-0.004,-0.004
